tcpdump: data link type LINUX_SLL2
tcpdump: listening on any, link-type LINUX_SLL2 (Linux cooked v2), snapshot length 262144 bytes
01:07:16.413961 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.222 tell 10.1.1.1, length 46
01:07:16.678620 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.247 tell 10.1.1.1, length 46
01:07:25.834531 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.2 tell 10.1.1.1, length 46
01:07:25.848433 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.26 tell 10.1.1.1, length 46
01:07:25.848434 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.80 tell 10.1.1.1, length 46
01:07:25.848455 eth0  Out ifindex 2 bc:24:11:40:d0:44 ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Reply 10.1.1.26 is-at bc:24:11:40:d0:44, length 28
01:07:26.835680 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.2 tell 10.1.1.1, length 46
01:07:26.848847 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.80 tell 10.1.1.1, length 46
01:07:26.848847 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.26 tell 10.1.1.1, length 46
01:07:26.848875 eth0  Out ifindex 2 bc:24:11:40:d0:44 ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Reply 10.1.1.26 is-at bc:24:11:40:d0:44, length 28
01:07:29.375336 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.222 tell 10.1.1.1, length 46
01:07:30.413928 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.222 tell 10.1.1.1, length 46
01:07:31.463901 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.222 tell 10.1.1.1, length 46
01:07:36.058392 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.247 tell 10.1.1.1, length 46
01:07:37.059487 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.247 tell 10.1.1.1, length 46
01:07:44.369777 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.222 tell 10.1.1.1, length 46
01:07:45.373848 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.222 tell 10.1.1.1, length 46
01:07:46.188852 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.80 tell 10.1.1.1, length 46
01:07:46.192808 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.26 tell 10.1.1.1, length 46
01:07:46.192830 eth0  Out ifindex 2 bc:24:11:40:d0:44 ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Reply 10.1.1.26 is-at bc:24:11:40:d0:44, length 28
01:07:46.210746 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.2 tell 10.1.1.1, length 46
01:07:46.413961 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.222 tell 10.1.1.1, length 46
01:07:47.189828 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.80 tell 10.1.1.1, length 46
01:07:47.193026 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.26 tell 10.1.1.1, length 46
01:07:47.193049 eth0  Out ifindex 2 bc:24:11:40:d0:44 ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Reply 10.1.1.26 is-at bc:24:11:40:d0:44, length 28
01:07:47.210875 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.2 tell 10.1.1.1, length 46
01:07:56.417511 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.247 tell 10.1.1.1, length 46
01:07:57.418695 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.247 tell 10.1.1.1, length 46
01:07:59.369777 eth0  B   ifindex 2 9e:05:d6:59:e4:f0 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 10.1.1.222 tell 10.1.1.1, length 46
